tensor(0.3134) tensor(0.0020)
tensor(0.2141) tensor(0.0085)
tensor(0) tensor(0)
tensor(0.2255) tensor(1.9454e-05)
tensor(0.0188) tensor(0.0002)
tensor(0) tensor(0)
tensor(0.0990) tensor(3.6356e-06)
tensor(0.0243) tensor(0.0003)
tensor(0) tensor(0)
tensor(1.1245) tensor(0.0061)
tensor(0.4355) tensor(0.0889)
tensor(0) tensor(0)
tensor(0.4489) tensor(0.0009)
tensor(0.0488) tensor(0.0082)
tensor(0) tensor(0)
tensor(0.1685) tensor(7.0615e-07)
tensor(0.0077) tensor(0.0002)
tensor(0) tensor(0)
tensor(2.2972) tensor(0.0034)
tensor(1.2090) tensor(0.1893)
tensor(0) tensor(0)
tensor(0.1481) tensor(0.0189)
tensor(0.0237) tensor(0.0077)
tensor(0) tensor(0)
tensor(0.0472) tensor(9.6544e-07)
tensor(0.0037) tensor(4.5840e-05)
tensor(0) tensor(0)
tensor(3.9043, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.0766, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(inf, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(1) tensor(1)
tensor(1.2959, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.2103, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.6631, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.1368, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.2385, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.0335, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(1) tensor(1)
tensor(1.7090, dtype=torch.float16) tensor(5.9605e-08, dtype=torch.float16)
tensor(0.3237, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.4785, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.0722, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.3113, dtype=torch.float16) tensor(0.0004, dtype=torch.float16)
tensor(0.0244, dtype=torch.float16) tensor(0.0050, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.1179, dtype=torch.float16) tensor(5.9605e-08, dtype=torch.float16)
tensor(0.0061, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.5869, dtype=torch.float16) tensor(0.0016, dtype=torch.float16)
tensor(0.0480, dtype=torch.float16) tensor(0.0052, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.2347, dtype=torch.float16) tensor(0.0003, dtype=torch.float16)
tensor(0.0307, dtype=torch.float16) tensor(0.0046, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.1255, dtype=torch.float16) tensor(1.0669e-05, dtype=torch.float16)
tensor(0.0062, dtype=torch.float16) tensor(5.3525e-05, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.4077, dtype=torch.float16) tensor(0.0070, dtype=torch.float16)
tensor(0.1968, dtype=torch.float16) tensor(0.0036, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.4402, dtype=torch.float16) tensor(0.0001, dtype=torch.float16)
tensor(0.0828, dtype=torch.float16) tensor(0.0123, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.2898, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.0154, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.5098, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.1086, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.3228, dtype=torch.float16) tensor(0.0015, dtype=torch.float16)
tensor(0.4165, dtype=torch.float16) tensor(0.0021, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.6704, dtype=torch.float16) tensor(0.0028, dtype=torch.float16)
tensor(0.0805, dtype=torch.float16) tensor(0.0027, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.2056, dtype=torch.float16) tensor(5.3644e-07, dtype=torch.float16)
tensor(0.0154, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.3430, dtype=torch.float16) tensor(0.0006, dtype=torch.float16)
tensor(0.1102, dtype=torch.float16) tensor(0.0101, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.3457, dtype=torch.float16) tensor(0.0002, dtype=torch.float16)
tensor(0.0507, dtype=torch.float16) tensor(0.0073, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.1044, dtype=torch.float16) tensor(7.8678e-05, dtype=torch.float16)
tensor(0.0092, dtype=torch.float16) tensor(0.0001, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.2766, dtype=torch.float16) tensor(0.0029, dtype=torch.float16)
tensor(0.0408, dtype=torch.float16) tensor(0.0107, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.4646, dtype=torch.float16) tensor(0.0002, dtype=torch.float16)
tensor(0.0426, dtype=torch.float16) tensor(0.0080, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.1426, dtype=torch.float16) tensor(5.2214e-05, dtype=torch.float16)
tensor(0.0045, dtype=torch.float16) tensor(5.5909e-05, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.3916, dtype=torch.float16) tensor(0.0015, dtype=torch.float16)
tensor(0.0831, dtype=torch.float16) tensor(0.0155, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.2812, dtype=torch.float16) tensor(0.0001, dtype=torch.float16)
tensor(0.0941, dtype=torch.float16) tensor(0.0149, dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.3213, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.0149, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.3130, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(0.0385, dtype=torch.float16) tensor(0., dtype=torch.float16)
tensor(1) tensor(1)
tensor(0.8789, dtype=torch.float16) tensor(0.0014, dtype=torch.float16)
